,redshift,Xe
632,3680.0,1.07951338565
633,3670.0,1.07951338565
634,3660.0,1.07951338565
635,3650.0,1.07951338565
636,3640.0,1.07951338565
637,3630.0,1.07951338565
638,3620.0,1.07951338565
639,3610.0,1.07951338565
640,3600.0,1.07951338565
641,3590.0,1.07951338565
642,3580.0,1.07951338565
643,3570.0,1.07951338565
644,3560.0,1.07951338565
645,3550.0,1.07951338565
646,3540.0,1.07951338565
647,3530.0,1.07951338565
648,3520.0,1.07951338565
649,3510.0,1.07951338565
650,3500.0,1.07951338565
651,3489.97134957,1.07951223771
652,3479.94269914,1.07951213949
653,3469.91404871,1.07951203222
654,3459.88539828,1.07951191499
655,3449.85674785,1.07951178681
656,3439.82809742,1.07951164659
657,3429.79944699,1.07951149312
658,3419.77079656,1.07951132506
659,3409.74214613,1.07951114093
660,3399.7134957,1.07951093908
661,3389.68484527,1.07951071778
662,3379.65619484,1.0795104748
663,3369.62754441,1.07951020801
664,3359.59889398,1.07950991492
665,3349.57024355,1.07950959284
666,3339.54159312,1.07950923839
667,3329.51294269,1.07950884858
668,3319.48429226,1.07950841906
669,3309.45564183,1.07950794599
670,3299.4269914,1.0795074247
671,3289.39834097,1.07950684928
672,3279.36969054,1.07950621442
673,3269.34104011,1.07950551332
674,3259.31238968,1.07950473891
675,3249.28373926,1.07950388205
676,3239.25508883,1.07950293473
677,3229.2264384,1.07950188532
678,3219.19778797,1.07950072363
679,3209.16913754,1.07949943521
680,3199.14048711,1.07949800706
681,3189.11183668,1.07949642119
682,3179.08318625,1.07949466099
683,3169.05453582,1.07949270401
684,3159.02588539,1.07949052846
685,3148.99723496,1.0794881083
686,3138.96858453,1.07948541311
687,3128.9399341,1.0794824103
688,3118.91128367,1.07947906134
689,3108.88263324,1.07947532771
690,3098.85398281,1.07947115901
691,3088.82533238,1.07946650023
692,3078.79668195,1.07946129468
693,3068.76803152,1.07945547063
694,3058.73938109,1.07944895423
695,3048.71073066,1.07944165305
696,3038.68208023,1.07943347334
697,3028.6534298,1.07942430045
698,3018.62477937,1.07941400805
699,3008.59612894,1.07940245677
700,2998.56747851,1.07938947987
701,2988.53882808,1.07937490167
702,2978.51017765,1.07935851442
703,2968.48152722,1.07934008934
704,2958.45287679,1.07931936906
705,2948.42422636,1.07929606704
706,2938.39557593,1.07926985964
707,2928.3669255,1.07924039877
708,2918.33827507,1.07920729152
709,2908.30962464,1.07917011545
710,2898.28097421,1.07912840903
711,2888.25232378,1.07908168515
712,2878.22367335,1.07902942834
713,2868.19502292,1.07897109586
714,2858.16637249,1.07890617081
715,2848.13772206,1.07883406332
716,2838.10907163,1.07875428598
717,2828.0804212,1.07866633197
718,2818.05177077,1.07856975643
719,2808.02312034,1.07846417319
720,2797.99446991,1.07834927614
721,2787.96581948,1.07822480035
722,2777.93716905,1.07809064453
723,2767.90851862,1.07794673622
724,2757.87986819,1.07779311063
725,2747.85121777,1.07762989242
726,2737.82256734,1.07745726611
727,2727.79391691,1.07727550906
728,2717.76526648,1.07708491268
729,2707.73661605,1.07688584799
730,2697.70796562,1.07667870729
731,2687.67931519,1.07646389501
732,2677.65066476,1.07624184843
733,2667.62201433,1.0760129862
734,2657.5933639,1.075777727
735,2647.56471347,1.07553651412
736,2637.53606304,1.07528971041
737,2627.50741261,1.07503770527
738,2617.47876218,1.074780854
739,2607.45011175,1.07451947766
740,2597.42146132,1.07425389281
741,2587.39281089,1.07398436102
742,2577.36416046,1.07371112352
743,2567.33551003,1.07343441703
744,2557.3068596,1.07315439499
745,2547.27820917,1.07287124359
746,2537.24955874,1.0725850861
747,2527.22090831,1.07229603377
748,2517.19225788,1.07200416401
749,2507.16360745,1.07170954901
750,2497.13495702,1.07141220901
751,2487.10630659,1.07111216716
752,2477.07765616,1.07080942838
753,2467.04900573,1.07050396482
754,2457.0203553,1.07019574165
755,2446.99170487,1.06988469809
756,2436.96305444,1.06957078353
757,2426.93440401,1.06925387852
758,2416.90575358,1.06893392765
759,2406.87710315,1.06861080892
760,2396.84845272,1.06828438821
761,2386.81980229,1.06795457698
762,2376.79115186,1.06762119245
763,2366.76250143,1.06728409554
764,2356.733851,1.06694315067
765,2346.70520057,1.06659817765
766,2336.67655014,1.0662489994
767,2326.64789971,1.06589545944
768,2316.61924928,1.06553733046
769,2306.59059885,1.06517446046
770,2296.56194842,1.06480662757
771,2286.53329799,1.06443362638
772,2276.50464756,1.06405524592
773,2266.47599713,1.06367128501
774,2256.4473467,1.06328148927
775,2246.41869628,1.0628856233
776,2236.39004585,1.06248348562
777,2226.36139542,1.06207481803
778,2216.33274499,1.06165935098
779,2206.30409456,1.06123684755
780,2196.27544413,1.06080704925
781,2186.2467937,1.06036967366
782,2176.21814327,1.0599244607
783,2166.18949284,1.05947111813
784,2156.16084241,1.05900936508
785,2146.13219198,1.0585389058
786,2136.10354155,1.05805944488
787,2126.07489112,1.05757066311
788,2116.04624069,1.05707225338
789,2106.01759026,1.05656388609
790,2095.98893983,1.05604526056
791,2085.9602894,1.05551602411
792,2075.93163897,1.05497581631
793,2065.90298854,1.05442432382
794,2055.87433811,1.0538611778
795,2045.84568768,1.05328600106
796,2035.81703725,1.05269845055
797,2025.78838682,1.05209815738
798,2015.75973639,1.05148470711
799,2005.73108596,1.05085773049
800,1995.70243553,1.05021687368
801,1985.6737851,1.0495616714
802,1975.64513467,1.04889174472
803,1965.61648424,1.04820676323
804,1955.58783381,1.04750623664
805,1945.55918338,1.04678971829
806,1935.53053295,1.04605689887
807,1925.50188252,1.04530732562
808,1915.47323209,1.04454049828
809,1905.44458166,1.04375606684
810,1895.41593123,1.04295362309
811,1885.3872808,1.04213266855
812,1875.35863037,1.0412927514
813,1865.32997994,1.04043349877
814,1855.30132951,1.03955445797
815,1845.27267908,1.03865505218
816,1835.24402865,1.03773478529
817,1825.21537822,1.0367932737
818,1815.18672779,1.0358299193
819,1805.15807736,1.03484396781
820,1795.12942693,1.03383466722
821,1785.1007765,1.03280142085
822,1775.07212607,1.03174333302
823,1765.04347564,1.03065899166
824,1755.01482521,1.02954701462
825,1744.98617479,1.0284059975
826,1734.95752436,1.02723377714
827,1724.92887393,1.02602745901
828,1714.9002235,1.02478377267
829,1704.87157307,1.02349862228
830,1694.84292264,1.02216646202
831,1684.81427221,1.02078018811
832,1674.78562178,1.01933101301
833,1664.75697135,1.01780773798
834,1654.72832092,1.01619575406
835,1644.69967049,1.01447644317
836,1634.67102006,1.01262649074
837,1624.64236963,1.01061652408
838,1614.6137192,1.00840947189
839,1604.58506877,1.00595933156
840,1594.55641834,1.00321006488
841,1584.52776791,1.00009431215
842,1574.49911748,0.996532753331
843,1564.47046705,0.99243465285
844,1554.44181662,0.987699802096
845,1544.41316619,0.982221670624
846,1534.38451576,0.975891578891
847,1524.35586533,0.968604867148
848,1514.3272149,0.960264467871
849,1504.29856447,0.950783655909
850,1494.26991404,0.940090903177
851,1484.24126361,0.928133800145
852,1474.21261318,0.91487894629
853,1464.18396275,0.900310353907
854,1454.15531232,0.884429340656
855,1444.12666189,0.867255449827
856,1434.09801146,0.848825652293
857,1424.06936103,0.829192072781
858,1414.0407106,0.808420350108
859,1404.01206017,0.786588884193
860,1393.98340974,0.763787586939
861,1383.95475931,0.740115649569
862,1373.92610888,0.715679126737
863,1363.89745845,0.690589240577
864,1353.86880802,0.664961157078
865,1343.84015759,0.638911996638
866,1333.81150716,0.612558742142
867,1323.78285673,0.586016729268
868,1313.7542063,0.559398657762
869,1303.72555587,0.532813720129
870,1293.69690544,0.506366386722
871,1283.66825501,0.480155442585
872,1273.63960458,0.454273629795
873,1263.61095415,0.428807463622
874,1253.58230372,0.403836909837
875,1243.5536533,0.379434957134
876,1233.52500287,0.355667525481
877,1223.49635244,0.33259361439
878,1213.46770201,0.310265365191
879,1203.43905158,0.288727980254
880,1193.41040115,0.268019661984
881,1183.38175072,0.248171840745
882,1173.35310029,0.229209392546
883,1163.32444986,0.211150782573
884,1153.29579943,0.194008060882
885,1143.267149,0.177787220694
886,1133.23849857,0.162488452498
887,1123.20984814,0.148106469093
888,1113.18119771,0.13463078004
889,1103.15254728,0.122046067342
890,1093.12389685,0.110332606786
891,1083.09524642,0.099466711865
892,1073.06659599,0.0894211763239
893,1063.03794556,0.0801657261754
894,1053.00929513,0.0716675092277
895,1042.9806447,0.0638915636031
896,1032.95199427,0.0568013534288
897,1022.92334384,0.0503591494981
898,1012.89469341,0.0445265020277
899,1002.86604298,0.0392646498137
900,992.83739255,0.0345349042955
901,982.80874212,0.0302989877568
902,972.780091691,0.0265193440423
903,962.751441261,0.023159404109
904,952.722790831,0.0201838201301
905,942.694140401,0.0175586518744
906,932.665489971,0.0152515136205
907,922.636839542,0.0132316861622
908,912.608189112,0.0114701972974
909,902.579538682,0.0099398739561
910,892.550888252,0.00861537289186
911,882.522237822,0.0074731677029
912,872.493587393,0.00649156412451
913,862.464936963,0.00565064217783
914,852.436286533,0.00493224621792
915,842.407636103,0.00431992872196
916,832.378985673,0.00379890653221
917,822.350335244,0.00335599915998
918,812.321684814,0.00297956207438
919,802.293034384,0.00265940993489
920,792.264383954,0.00238670252762
921,782.235733524,0.00215386761991
922,772.207083095,0.00195445019353
923,762.178432665,0.00178300503191
924,752.149782235,0.00163497045976
925,742.121131805,0.00150654065731
926,732.092481375,0.00139455616579
927,722.063830946,0.00129640287003
928,712.035180516,0.00120991844499
929,702.006530086,0.00113331658858
930,691.977879656,0.00106511817789
